Company_Name,Category,Object_id,Country,Region,Amount_Raised_USD,Stage,Funded_At
Biofortuna,biotech,c:51060,GBR,Liverpool,1590000,venture,2010-05-24
ReInnervate,biotech,c:51064,GBR,Sedgefield,2000000,series-a,2010-05-28
Aepona,network_hosting,c:43050,GBR,Belfast,10000000,venture,2010-06-30
Eutechnyx,games_video,c:51102,GBR,gateshead,8800000,venture,2010-05-13
Helveta,software,c:38415,GBR,United Kingdom - Other,7270000,venture,2010-05-17
mySociety,software,c:50866,GBR,London,575000,venture,2010-07-06
Navetas Energy Management,cleantech,c:51235,GBR,London,5790000,series-b,2010-06-07
Stingray Geophysical,,c:48283,GBR,London,4570000,venture,2010-05-27
eoSemi,semiconductor,c:41287,GBR,Rotherham,4490000,venture,2010-06-25
VYRE Limited,network_hosting,c:51383,GBR,London,1515079,series-a,2010-07-08
Velsys Limited,software,c:51478,GBR,London,3690000,venture,2010-04-12
Arieso,mobile,c:22899,GBR,Newbury,2210000,venture,2010-04-07
Sell My Timeshare NOW,travel,c:15427,GBR,London,1600000,venture,2010-06-07
Concurrent Thinking,software,c:46337,GBR,Gallows Hill,1500000,venture,2010-06-17
Everyclick,search,c:9344,GBR,Gloucestershire,738000,venture,2010-04-22
MedaPhor,education,c:38746,GBR,Heath Park,466226,venture,2010-05-25
Altech Software,software,c:51585,GBR,Cwmbran,441000,venture,2010-06-01
Conjunct,network_hosting,c:51587,GBR,Livingston,402000,venture,2010-05-19
TopRealty,real_estate,c:51592,GBR,Alberta,315000,venture,2010-06-01
LumeJet,hardware,c:51596,GBR,Coventry,199000,venture,2010-04-30
BullionVault,finance,c:51631,GBR,London,18202648,series-c+,2010-06-01
High Integrity Solutions,software,c:51755,GBR,Romsey,4556910,series-b,2005-06-16
Mirics Semiconductor,semiconductor,c:25870,GBR,Fleet Hampshire,13000000,venture,2010-07-13
Flirtomatic,social,c:25983,GBR,London,9000000,series-c+,2010-07-14
